InvoiceID,SalesLineID_EU,InvoiceDate,CustomerID,CustomerOrderCount,CustomerSegment,Country,MarketRegion,StockCode,Description,ProductCategory,ProductMaterial,ProductColor,UnitPrice_EU,VAT_RATE,VAT_Amount_EU,UnitPrice_Gross_EU,UnitCost_EU,CostAmount_EU,Shipping_Zone_EU,Shipping_Fee_EU,Currency,Quantity,CustomerType_EU,GDPR_Consent_EU,PreferredLanguage_EU,CustomerTenureDays_EU,LoyaltyScore_EU,Brand_EU,ProductSize_EU,EcoLabel_EU,ReturnWindowDays_EU,VAT_Class_EU,IntraEU_Flag_EU,InvoiceType_EU,Carrier_EU,ShippingMethod_EU,EstimatedDeliveryDays_EU,FreeShippingFlag_EU,LineDiscountRate_EU,LoyaltyMember_EU,LoyaltyTier_EU,ContactEmail_EU,ContactPhone_EU,ContactChannel_EU,MarketingOptIn_EU,PreferredContactHours_EU,AccountStatus_EU
EU_576019_R5,EU_LN_252043,1/31/26 1:41,12865,3,NEW,Austria,EU,22575,METAL MERRY CHRISTMAS WREATH,MISC,METAL,UNKNOWN,1.95,0.2,0.39,2.34,1.17,9.36,EU_CENTRAL,5.99,EUR,8,B2C,1,DE,333,24,XMAS_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_545570,EU_LN_7734,4/16/25 3:38,12817,1,NEW,Austria,EU,POST,POSTAGE,MISC,OTHER,UNKNOWN,40.0,0.2,8.0,48.0,24.0,24.0,EU_CENTRAL,5.99,EUR,1,B2C,0,DE,0,10,HOME_LINE,M,1,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,16-20,NEW
EU_543027_R9,EU_LN_391273,5/20/25 2:01,12414,3,NEW,Austria,EU,POST,POSTAGE,MISC,OTHER,UNKNOWN,40.0,0.2,8.0,48.0,24.0,24.0,EU_CENTRAL,5.99,EUR,1,B2C,1,DE,0,9,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12414@loyal.eu,+43 555 414 414,SMS,1,8-16,NEW
EU_554132_R10,EU_LN_443148,9/13/25 20:53,12360,3,NEW,Austria,EU,21244,BLUE POLKADOT PLATE ,MISC,OTHER,BLUE,1.69,0.2,0.34,2.03,1.01,8.08,EU_CENTRAL,5.99,EUR,8,B2C,0,DE,0,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_562602_R3,EU_LN_151127,10/11/25 21:21,12865,3,NEW,Austria,EU,85049E,SCANDINAVIAN REDS RIBBONS,MISC,OTHER,RED,1.25,0.2,0.25,1.5,0.75,9.0,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,235,24,HOME_LINE,M,1,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_542887_R5,EU_LN_219666,4/21/25 0:20,12373,1,NEW,Austria,EU,85099B,JUMBO BAG RED RETROSPOT,BAG,OTHER,RED,1.95,0.2,0.39,2.34,1.17,11.7,EU_CENTRAL,5.99,EUR,10,B2C,1,DE,0,21,RETRO_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.1,0,NONE,,,NONE,0,10-18,NEW
EU_559707_R1,EU_LN_62322,8/31/25 21:14,12358,2,NEW,Austria,EU,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,MISC,CERAMIC,UNKNOWN,2.95,0.2,0.59,3.54,1.77,10.62,EU_CENTRAL,5.99,EUR,6,B2C,1,DE,0,21,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_554132_R1,EU_LN_57201,7/12/25 20:53,12360,3,NEW,Austria,EU,21676,FLOWERS  STICKERS,MISC,OTHER,UNKNOWN,0.85,0.2,0.17,1.02,0.51,6.12,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,0,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_554132_R8,EU_LN_357370,8/30/25 20:53,12360,3,NEW,Austria,EU,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,BOX,OTHER,UNKNOWN,2.55,0.2,0.51,3.06,1.53,9.18,EU_CENTRAL,5.99,EUR,6,B2C,1,DE,0,8,RETRO_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.03,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_559707_R11,EU_LN_491120,11/9/25 21:14,12358,2,NEW,Austria,EU,15056BL,EDWARDIAN PARASOL BLACK,MISC,OTHER,BLACK,5.95,0.2,1.19,7.14,3.57,42.84,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,0,21,HOME_LINE,M,1,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
